event_ts_ms,udp_ts,ws_ts,delta_ms,faster_source
1771559428354,1771559425541905,1771559425541521,0.384,WS
1771559428355,1771559425541928,1771559425541527,0.401,WS
1771559428400,1771559425562257,1771559425562215,0.042,WS
1771559428424,1771559425672419,1771559425672405,0.014,WS
1771559428567,1771559425755922,1771559425755907,0.015,WS
1771559428642,1771559425888735,1771559425888681,0.054,WS
1771559428643,1771559425888748,1771559425888693,0.055,WS
1771559428644,1771559425890827,1771559425890794,0.033,WS
1771559428646,1771559425890875,1771559425890802,0.073,WS
1771559428647,1771559425890883,1771559425890810,0.073,WS
1771559428648,1771559425890886,1771559425890817,0.069,WS
1771559428649,1771559425890890,1771559425890822,0.068,WS
1771559428650,1771559425890891,1771559425890828,0.063,WS
1771559428652,1771559425890893,1771559425890865,0.028,WS
1771559428653,1771559425890894,1771559425890872,0.022,WS
1771559428656,1771559425892231,1771559425892152,0.079,WS
1771559428657,1771559425897149,1771559425892163,4.986,WS
1771559428662,1771559425897160,1771559425892169,4.991,WS
1771559428674,1771559425897162,1771559425895132,2.030,WS
1771559428676,1771559425897164,1771559425895138,2.026,WS
1771559428690,1771559425897199,1771559425897118,0.081,WS
1771559428691,1771559425897204,1771559425897129,0.075,WS
1771559428699,1771559425897207,1771559425897136,0.071,WS
1771559428740,1771559425901714,1771559425901630,0.084,WS
1771559428741,1771559425901725,1771559425901641,0.084,WS
1771559428742,1771559425901727,1771559425901648,0.079,WS
1771559428743,1771559425901730,1771559425901655,0.075,WS
1771559428744,1771559425901733,1771559425901660,0.073,WS
1771559428746,1771559425931009,1771559425930978,0.031,WS
1771559428748,1771559425931020,1771559425930984,0.036,WS
1771559428748,1771559425936280,1771559425936159,0.121,WS
1771559428749,1771559425936299,1771559425936163,0.136,WS
1771559428750,1771559425936303,1771559425936165,0.138,WS
1771559428751,1771559425936323,1771559425936166,0.157,WS
1771559428752,1771559425936331,1771559425936171,0.160,WS
1771559428753,1771559425936335,1771559425936177,0.158,WS
1771559428754,1771559425936347,1771559425936178,0.169,WS
1771559428755,1771559425936353,1771559425936181,0.172,WS
1771559428756,1771559425939400,1771559425939304,0.096,WS
1771559428757,1771559425939409,1771559425939313,0.096,WS
1771559428758,1771559425939434,1771559425939316,0.118,WS
1771559428759,1771559425939457,1771559425939318,0.139,WS
1771559428760,1771559425939501,1771559425939321,0.180,WS
1771559428762,1771559425939511,1771559425939324,0.187,WS
1771559428769,1771559425939532,1771559425939327,0.205,WS
1771559428770,1771559425939538,1771559425939333,0.205,WS
1771559428771,1771559425939556,1771559425939337,0.219,WS
1771559428772,1771559425941666,1771559425939340,2.326,WS
1771559428773,1771559425941680,1771559425939344,2.336,WS
1771559428774,1771559425941706,1771559425939349,2.357,WS
1771559428775,1771559425941715,1771559425939349,2.366,WS
1771559428776,1771559425941734,1771559425941535,0.199,WS
1771559428777,1771559425941777,1771559425941542,0.235,WS
1771559428781,1771559425941784,1771559425941547,0.237,WS
1771559428783,1771559425941795,1771559425941552,0.243,WS
1771559428787,1771559425941813,1771559425941557,0.256,WS
1771559428791,1771559425941818,1771559425941562,0.256,WS
1771559428824,1771559425973151,1771559425973094,0.057,WS
1771559428853,1771559426004120,1771559426004073,0.047,WS
